3506,3530,3922
IDENTICAL,REFACTORED_MOVE,REFACTORED_RENAME,REFACTORED_INLINE,REFACTORED_EXTRACT,REFACTORED_ARGUMENTS_RENAME,REFACTORED_ARGUMENTS_REORDER,ARGUMENTS_CHANGE_ADD,ARGUMENTS_CHANGE_REMOVE,ARGUMENTS_CHANGE_TYPE_CHANGE,BODY_CHANGE_ONLY,NOT_FOUND
2861,0,5,1,10,0,1,32,0,0,508,18,3436
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0(1),0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0(1),0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,0,1,1,0,0,23(3),0,61
2,0,0,0,0,0,0,0,0,0,0,1,3
New methods in new AOSP,New methods in proprietary,New methods in both
33,439,1(2)
